"Month","My tribe","I can rely on my colleagues’ skills and abilities","I feel I can honestly discuss my tasks, even negative feelings and frustration","I get support from my supervisor when I need it","I get support from my colleagues when I need it","I do have enough visibility and information about what is going on in the company","I think that we share enough practices between projects and tribes","I have challenged myself (tried new things, learned new things, shared my knowledge etc.) recently","I feel that my workload is in balance","I think that my current project/work tasks are interesting","I am proud of being a Futuricean","I am being fairly rewarded for my work","I get enough feedback about my work","I feel like I can influence things at work to improve things around me","I feel like I'm very good at my job","I feel that I have possibilities to improve my professional skills in my work","We have a strong sense of togetherness at Futurice","We have a strong sense of togetherness in my tribe","I see interesting career development possibilities ahead of me at Futurice","I enjoy working at Futurice","I would recommend Futurice as an employer if my friend would ask","I see no reason to look for another job at the moment","I feel that employees' feedback is taken into account well at Futurice"
October,Inna,4,3,4,4,3,3,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,3
October,Berlin,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
October,Tribe Four,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4
October,Tammerforce,4,3,3,3,3,3,4,3,3,4,2,3,3,3,3,3,4,3,4,4,4,3
October,Avalon,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3
October,Berlin,3,2,3,3,2,2,3,3,1,2,2,2,2,3,2,2,3,2,2,2,1,2
October,Berlin,3,3,3,3,1,1,4,4,2,1,2,2,3,4,3,1,1,1,3,2,1,1
October,Avalon,4,4,4,4,2,1,4,3,3,3,2,1,3,4,2,1,4,2,3,3,1,2
October,Avalon,3,,3,,4,,3,3,4,4,,,,,3,3,4,3,3,3,4,3
October,Avalon,4,3,3,4,3,2,3,3,3,4,3,2,3,4,3,3,4,3,4,4,4,3
October,Inna,3,3,4,4,3,2,3,3,4,4,3,3,2,2,3,3,2,3,3,4,3,3
October,South Side,3,3,2,3,2,3,4,3,3,3,2,2,2,3,3,2,2,2,3,3,3,2
October,South Side,4,3,3,3,3,3,,2,1,4,3,3,2,2,3,3,3,4,4,4,2,4
October,Avalon,3,3,3,3,3,2,4,3,4,3,2,2,3,2,3,2,3,3,3,3,3,4
October,Avalon,3,3,2,3,3,3,3,1,3,3,3,3,2,3,3,2,2,3,3,3,2,3
October,Tammerforce,4,3,3,4,4,2,3,4,3,4,2,2,3,3,4,3,4,3,4,4,4,3
October,Inna,4,4,4,4,3,2,3,3,3,4,3,3,4,4,4,2,3,3,3,4,3,4
